date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:04	297716/297716	---M-Z	200	added ('OK')	text/html	etag:%2248af4-609b6e5207ac5-gzip%22	https://themesbrand.com/velzon/html/material/index.html	E:/admin/themesbrand.com/velzon/html/material/index.html	(from )
18:08:04	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-607430e6e63c6%22	https://themesbrand.com/robots.txt		(from )
18:08:04	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-60743104f3a40-gzip%22	https://themesbrand.com/velzon/html/material/assets/libs/jsvectormap/css/jsvectormap.min.css	E:/admin/themesbrand.com/velzon/html/material/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:05	113853/113853	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221bcbd-607431046ed3d%22	https://themesbrand.com/velzon/html/material/assets/images/favicon.ico	E:/admin/themesbrand.com/velzon/html/material/assets/images/favicon.ico	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:05	17905/17905	---M-Z	200	added ('OK')	text/css	etag:%2245f1-6074310518c01-gzip%22	https://themesbrand.com/velzon/html/material/assets/libs/swiper/swiper-bundle.min.css	E:/admin/themesbrand.com/velzon/html/material/assets/libs/swiper/swiper-bundle.min.css	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:05	1237/1237	---M-Z	200	added ('OK')	application/javascript	etag:%224d5-607431048355d-gzip%22	https://themesbrand.com/velzon/html/material/assets/js/layout.js	E:/admin/themesbrand.com/velzon/html/material/assets/js/layout.js	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:05	282395/282395	---M-Z	200	added ('OK')	text/css	etag:%2244f1b-609b6e51e3897-gzip%22	https://themesbrand.com/velzon/html/material/assets/css/bootstrap.min.css	E:/admin/themesbrand.com/velzon/html/material/assets/css/bootstrap.min.css	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:05	604709/604709	---MCZ	200	added ('OK')	text/css	etag:%2293a25-609b6e51e4838-gzip%22	https://themesbrand.com/velzon/html/material/assets/css/icons.min.css	E:/admin/themesbrand.com/velzon/html/material/assets/css/icons.min.css	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:06	44/44	---M--	200	added ('OK')	text/css	etag:%222c-607431044f93c%22	https://themesbrand.com/velzon/html/material/assets/css/custom.min.css	E:/admin/themesbrand.com/velzon/html/material/assets/css/custom.min.css	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:06	340101/340101	---M-Z	200	added ('OK')	text/css	etag:%2253085-6103c8c7052cb-gzip%22	https://themesbrand.com/velzon/html/material/assets/css/app.min.css	E:/admin/themesbrand.com/velzon/html/material/assets/css/app.min.css	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:06	7222/7222	---M--	200	added ('OK')	image/png	etag:%221c36-60743104779dd%22	https://themesbrand.com/velzon/html/material/assets/images/logo-sm.png	E:/admin/themesbrand.com/velzon/html/material/assets/images/logo-sm.png	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:06	3960/3960	---M--	200	added ('OK')	image/png	etag:%22f78-60743104779dd%22	https://themesbrand.com/velzon/html/material/assets/images/logo-dark.png	E:/admin/themesbrand.com/velzon/html/material/assets/images/logo-dark.png	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:06	3722/3722	---M--	200	added ('OK')	image/png	etag:%22e8a-60743104779dd%22	https://themesbrand.com/velzon/html/material/assets/images/logo-light.png	E:/admin/themesbrand.com/velzon/html/material/assets/images/logo-light.png	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:07	17336/17336	---M--	200	added ('OK')	image/jpeg	etag:%2243b8-607431048355d%22	https://themesbrand.com/velzon/html/material/assets/images/users/avatar-2.jpg	E:/admin/themesbrand.com/velzon/html/material/assets/images/users/avatar-2.jpg	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:07	11267/11267	---M--	200	added ('OK')	image/jpeg	etag:%222c03-607431048355d%22	https://themesbrand.com/velzon/html/material/assets/images/users/avatar-3.jpg	E:/admin/themesbrand.com/velzon/html/material/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/velzon/html/material/index.html)
18:08:07	11561/11561	---M--	200	added ('OK')	image/jpeg	etag:%222d29-607431048355d%22	https://themesbrand.com/velzon/html/material/assets/images/users/avatar-5.jpg	E:/admin/themesbrand.com/velzon/html/material/assets/images/users/avatar-5.jpg	(from https://themesbrand.com/velzon/html/material/index.html)
